01,3000,470,3000,70010,I100
02,2000,485,2000,70010,I105
03,1000,680,250,70010,I108
04,2000,40,6000,70010,D035
05,6000,3500,2000,70010,P220
06,6000,2000,1000,70010,P240
01,1000,600,0,70011,I105
01,200,140,0,70020,B001
02,200,140,1000,70020,B002
01,1000,590,500,70025,I100
02,500,590,1000,70025,I105
01,1000,470,10000,70210,I100
02,10000,3500,500,70010,P220
01,50,790,12000,70300,I110
01,15000,4900,10000,70250,P230
02,10000,3350,200,70650,P220
01,200,600,1000,70620,I105
01,1000,470,10000,70625,I100
02,10000,3500,0,70625,P220
01,200,140,0,70629,B001
02,200,140,0,70629,B002
